Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
29,10,2019,18,21,12,BEG,6.92,26,3.75,NF,13,23,14,4,0,0,0,0,0,31,0,0,27,0,0,1,1,1080,18,19
29,10,2019,18,21,46,BEG,5.76,14,2.43,NF,19,19,10,5,1,0,0,0,0,31,0,0,26,0,0,4,2,788,11,12
29,10,2019,18,21,52,BEG,5.69,14,2.46,NF,19,18,12,4,1,0,0,0,0,22,0,0,19,0,0,3,5,1014,14,14
31,10,2019,1,14,31,BEG,4.26,11,2.58,NF,25,17,7,3,2,0,0,0,0,16,0,0,12,0,0,2,3,565,11,11
31,10,2019,1,15,19,BEG,5.89,18,3.05,NF,17,20,11,3,3,0,0,0,0,25,0,0,24,0,0,3,1,929,15,14
31,10,2019,1,15,39,BEG,4.31,13,3.01,NF,25,14,12,3,0,0,0,0,0,15,0,0,14,0,0,1,2,520,10,11
31,10,2019,1,16,14,BEG,7.41,17,2.29,NF,21,16,8,9,0,0,0,0,0,28,0,0,23,0,0,2,2,1059,13,12
31,10,2019,1,16,53,BEG,5.59,21,3.75,NF,15,27,10,2,0,0,0,0,0,28,0,0,26,0,0,3,2,844,13,13
31,10,2019,1,17,0,BEG,5.36,18,3.35,NF,17,24,11,2,0,0,0,0,0,24,0,0,23,0,0,2,1,840,14,14
31,10,2019,1,17,10,BEG,4.56,11,2.41,NF,15,23,16,0,0,0,0,0,0,23,0,0,21,0,0,4,2,716,9,9
31,10,2019,1,17,18,BEG,5.86,13,2.21,NF,19,21,7,7,0,0,0,0,0,29,0,0,25,0,0,4,4,967,11,11
31,10,2019,1,17,41,BEG,6.56,14,2.13,NF,19,19,9,6,1,0,0,0,0,22,0,0,19,0,0,3,3,833,12,12
31,10,2019,1,17,51,BEG,9.05,22,2.43,Flag,17,17,17,2,1,0,0,0,0,19,6,13,16,5,6,2,1,915,17,16
31,10,2019,1,18,7,BEG,7.34,20,2.72,NF,16,20,14,4,0,0,0,0,0,37,0,0,30,0,0,4,1,1014,16,15
1,11,2019,20,39,3,BEG,4.13,12,2.90,NF,23,16,11,3,1,0,0,0,0,20,0,0,16,0,0,3,2,627,11,12
1,11,2019,20,39,15,BEG,3.50,11,3.14,NF,21,20,11,1,1,0,0,0,0,13,0,0,12,0,0,2,2,491,9,9
1,11,2019,20,39,47,BEG,6.52,22,3.37,NF,16,20,14,4,0,0,0,0,0,33,0,0,28,0,0,3,3,1029,16,15
1,11,2019,20,39,55,BEG,4.59,12,2.61,NF,17,25,11,1,0,0,0,0,0,25,0,0,19,0,0,4,2,652,9,9
1,11,2019,20,40,4,BEG,7.44,25,3.36,NF,13,24,14,3,0,0,0,0,0,37,0,0,31,0,0,3,3,1125,15,16
1,11,2019,20,40,13,BEG,6.53,15,2.29,NF,15,23,14,2,0,0,0,0,0,30,0,0,25,0,0,4,5,878,14,14
1,11,2019,20,40,32,BEG,7.51,17,2.26,Flag,15,24,12,2,1,0,0,0,0,14,5,12,13,5,7,2,3,826,14,15
1,11,2019,20,40,42,BEG,9.07,23,2.53,NF,13,25,11,4,1,0,0,0,0,38,0,0,31,0,0,4,4,1330,17,20
1,11,2019,20,40,57,BEG,5.67,14,2.46,NF,14,29,6,5,0,0,0,0,0,24,0,0,22,0,0,3,5,845,13,13
1,11,2019,20,41,7,BEG,4.55,11,2.41,NF,21,20,8,5,0,0,0,0,0,18,0,0,15,0,0,3,4,791,9,10
1,11,2019,20,41,16,BEG,4.22,15,3.55,NF,18,19,14,3,0,0,0,0,0,18,0,0,16,0,0,3,3,579,14,15
1,11,2019,20,42,29,BEG,7.48,16,2.13,NF,12,28,14,0,0,0,0,0,0,28,0,0,24,0,0,4,6,979,13,13
1,11,2019,20,42,45,BEG,6.83,18,2.63,NF,18,19,10,6,1,0,0,0,0,30,0,0,24,0,0,3,4,861,16,18
1,11,2019,20,42,55,BEG,9.46,31,3.27,NF,8,33,12,1,0,0,0,0,0,46,0,0,37,0,0,3,1,1275,19,18
1,11,2019,20,43,12,BEG,7.72,27,3.49,NF,10,30,9,4,1,0,0,0,0,34,0,0,30,0,0,3,2,1058,21,23
1,11,2019,20,43,28,BEG,2.20,7,3.18,NF,27,21,2,3,1,0,0,0,0,10,0,0,8,0,0,1,3,358,7,7
1,11,2019,20,44,15,BEG,5.95,19,3.19,NF,17,15,20,2,0,0,0,0,0,31,0,0,25,0,0,3,3,852,14,14
1,11,2019,20,44,24,BEG,5.43,13,2.39,NF,21,21,7,4,0,1,0,0,0,17,0,0,14,0,0,1,5,752,11,12
